400	0.043095	0.00017732
401	0.043095	0.00017477
402	0.043095	0.00017325
403	0.043095	0.0001736
404	0.043095	0.00017683
405	0.043096	0.00018405
406	0.043006	0.0001947
407	0.042916	0.00020584
408	0.042839	0.00021728
409	0.042748	0.00022908
410	0.042658	0.00023913
411	0.042594	0.00024642
412	0.04253	0.00025597
413	0.042453	0.00026831
414	0.04239	0.00028195
415	0.042327	0.00029692
416	0.042264	0.00031211
417	0.042214	0.00032638
418	0.042151	0.00034086
419	0.0421	0.00035371
420	0.042037	0.00036282
421	0.041998	0.00036674
422	0.041959	0.00036999
423	0.041908	0.00037267
424	0.04187	0.00038036
425	0.041832	0.00038754
426	0.041793	0.00039116
427	0.041754	0.00038928
428	0.041728	0.00039114
429	0.04169	0.00039375
430	0.04165	0.00038944
431	0.041623	0.00038291
432	0.041583	0.00037783
433	0.041556	0.00037576
434	0.041517	0.00037576
435	0.041491	0.00037646
436	0.041466	0.00037723
437	0.04144	0.00038118
438	0.041415	0.00038492
439	0.04139	0.00039164
440	0.041366	0.00040233
441	0.04133	0.00042401
442	0.041296	0.00045203
443	0.041275	0.00047944
444	0.041242	0.00051458
445	0.041211	0.00055766
446	0.041193	0.00060392
447	0.041177	0.0006541
448	0.041151	0.00072089
449	0.041141	0.00080118
450	0.041135	0.00089666
451	0.041133	0.0010076
452	0.041136	0.0011367
453	0.041142	0.0012733
454	0.041151	0.0014149
455	0.041161	0.0015604
456	0.041174	0.0017107
457	0.041203	0.0018691
458	0.04122	0.0020235
459	0.041248	0.00217
460	0.041262	0.0023112
461	0.041277	0.0024502
462	0.0413	0.0025699
463	0.041308	0.0026843
464	0.041332	0.0028046
465	0.041345	0.0029319
466	0.041369	0.0030483
467	0.041391	0.0031599
468	0.041398	0.0032628
469	0.041418	0.0033644
470	0.041437	0.0034596
471	0.041449	0.0035379
472	0.041448	0.003613
473	0.04146	0.0036861
474	0.041457	0.0037561
475	0.041465	0.0038188
476	0.041474	0.0038822
477	0.04149	0.0039695
478	0.041494	0.0040561
479	0.041511	0.0041422
480	0.041532	0.0042392
481	0.041565	0.0043694
482	0.041594	0.0045267
483	0.041644	0.0047001
484	0.041696	0.0049141
485	0.041775	0.0051632
486	0.041872	0.0054535
487	0.041977	0.0057939
488	0.042119	0.0061901
489	0.042279	0.0066529
490	0.042475	0.0071605
491	0.0427	0.0077266
492	0.042949	0.008364
493	0.043253	0.009079
494	0.043583	0.0098635
495	0.043977	0.010734
496	0.044415	0.011701
497	0.044917	0.012773
498	0.045502	0.013952
499	0.046148	0.015242
500	0.046883	0.016665
501	0.047711	0.018217
502	0.048633	0.019895
503	0.049681	0.021718
504	0.050832	0.023695
505	0.052109	0.025826
506	0.053528	0.028129
507	0.055093	0.030605
508	0.056812	0.033256
509	0.058689	0.03608
510	0.060739	0.039093
511	0.06298	0.042312
512	0.0654	0.04574
513	0.068024	0.049352
514	0.07083	0.053165
515	0.073818	0.057122
516	0.076958	0.061235
517	0.080257	0.065459
518	0.083664	0.069782
519	0.087183	0.074158
520	0.09076	0.078577
521	0.094382	0.083002
522	0.098021	0.087401
523	0.10164	0.091703
524	0.10515	0.095874
525	0.10855	0.099886
526	0.11179	0.1037
527	0.11485	0.10727
528	0.11769	0.11059
529	0.12032	0.11365
530	0.12274	0.11647
531	0.12494	0.11902
532	0.12691	0.12132
533	0.12862	0.12337
534	0.13014	0.12516
535	0.13145	0.12672
536	0.13257	0.12806
537	0.13351	0.12924
538	0.13433	0.13025
539	0.13499	0.13112
540	0.13555	0.13186
541	0.13604	0.1325
542	0.13643	0.13308
543	0.13682	0.13361
544	0.13716	0.13415
545	0.13752	0.13465
546	0.13787	0.13518
547	0.13821	0.13566
548	0.1385	0.13614
549	0.13875	0.13653
550	0.13893	0.13687
551	0.13901	0.13711
552	0.13899	0.13721
553	0.1388	0.13715
554	0.13849	0.13691
555	0.13799	0.13651
556	0.13733	0.13593
557	0.13649	0.13515
558	0.13547	0.13417
559	0.1343	0.13301
560	0.13299	0.13171
561	0.13153	0.13022
562	0.12995	0.1286
563	0.12824	0.12682
564	0.12641	0.12491
565	0.12442	0.12281
566	0.12235	0.12059
567	0.12016	0.11824
568	0.11791	0.11577
569	0.11557	0.11322
570	0.11323	0.11066
571	0.1109	0.10808
572	0.10861	0.10554
573	0.1064	0.10305
574	0.10428	0.10068
575	0.10227	0.098416
576	0.10037	0.096285
577	0.098583	0.094266
578	0.096928	0.092366
579	0.095356	0.090587
580	0.09388	0.088915
581	0.092463	0.087307
582	0.091126	0.085787
583	0.089889	0.084351
584	0.088707	0.083008
585	0.087584	0.081731
586	0.086562	0.080544
587	0.085593	0.079448
588	0.084706	0.07842
589	0.083864	0.077475
590	0.083116	0.076615
591	0.082421	0.07582
592	0.081784	0.075096
593	0.0812	0.074437
594	0.080669	0.073843
595	0.080181	0.073304
596	0.079716	0.072793
597	0.079247	0.072276
598	0.078806	0.071762
599	0.078347	0.071254
600	0.077862	0.070712
601	0.077335	0.070111
602	0.076773	0.069462
603	0.076187	0.068749
604	0.075526	0.067965
605	0.074811	0.067105
606	0.074051	0.066151
607	0.073218	0.065123
608	0.072354	0.06402
609	0.071434	0.062865
610	0.070519	0.061679
611	0.069607	0.060489
612	0.06867	0.059287
613	0.067728	0.058041
614	0.066788	0.056819
615	0.065902	0.055635
616	0.065051	0.054492
617	0.064236	0.053393
618	0.063463	0.052375
619	0.062785	0.051458
620	0.062183	0.050645
621	0.061635	0.049908
622	0.061163	0.049278
623	0.060753	0.048734
624	0.060396	0.048268
